"Name","Version","License","URL","Description"
"Pillow","10.1.0","Historical Permission Notice and Disclaimer (HPND)","https://python-pillow.org","Python Imaging Library (Fork)"
"contourpy","1.2.0","BSD License","https://github.com/contourpy/contourpy","Python library for calculating contours of 2D quadrilateral grids"
"control","0.9.4","BSD License","https://python-control.org","Python Control Systems Library"
"cycler","0.12.1","BSD License","https://matplotlib.org/cycler/","Composable style cycles"
"fonttools","4.47.0","MIT License","http://github.com/fonttools/fonttools","Tools to manipulate font files"
"kiwisolver","1.4.5","BSD License","https://github.com/nucleic/kiwi","A fast implementation of the Cassowary constraint solver"
"matplotlib","3.8.2","Python Software Foundation License","https://matplotlib.org","Python plotting package"
"numpy","1.26.2","BSD License","https://numpy.org","Fundamental package for array computing in Python"
"packaging","23.2","Apache Software License; BSD License","https://github.com/pypa/packaging","Core utilities for Python packages"
"pyparsing","3.1.1","MIT License","https://github.com/pyparsing/pyparsing/","pyparsing module - Classes and methods to define and execute parsing grammars"
"python-dateutil","2.8.2","Apache Software License; BSD License","https://github.com/dateutil/dateutil","Extensions to the standard Python datetime module"
"scipy","1.11.4","BSD License","https://scipy.org/","Fundamental algorithms for scientific computing in Python"
"six","1.16.0","MIT License","https://github.com/benjaminp/six","Python 2 and 3 compatibility utilities"
